titre,description,ville,type_bien,etage,prix,surface,pieces,DPE,full_description,lien
Vente Maison 127 m² Givors,Grande maison de ville de 127 m² à rénover sur GIVORS CENTRE (69700),Givors,Maison,1,285000,127.0,5,B,"Votre agence GUY HOQUET GIVORS vous propose cette grande maison de ville de 127 m² à rénover, proche de toutes les commodités, de la Gare et du Centre ville.  Elle dispose: D'une agréable cuisine de 22m2, un salon et un séjour formant une pièce de vie de 28 m2, trois chambres dont une avec salle d'eau privative, une salle de bain et deux toilettes (un par niveau). Bien atypique offrant de nombreux espaces et de nombreuses possibilités!  A rénover  Parmi les plus, vous bénéficiez d'un petit espace extérieur avec coin potager et coin barbecue carrelé, vous trouverez également d'un sous-sol complet actuellement composé : d'un cellier de 20 m2, un grand garage de 25 m2, et d'une grande cave, pratique pour stocker différentes affaires et garer vos véhicules. Isolation par l'extérieur récente ,  double vitrage PVC , chauffage pompe à chaleur avec clim réversible.  Le prix de vente est de 285 000 euros et les honoraires sont à la charge du vendeur.  prenez contact avec votre agence Guy Hoquet pour une première visite sans plus tarder . Réf : N°5721G.  Vous souhaitez vendre votre bien immobilier : maison, villa, appartement ou terrain. Contactez nous vite pour une estimation GRATUITE et SANS ENGAGEMENT dans ces secteurs : Givors, Grigny, Loire sur Rhône, Chasse sur Rhône, Échalas, Saint Romain en Gier.",https://www.etreproprio.com/immobilier-25285593-vente-grande-maison-de-ville-de-127-m-a-renover-sur-givors-centre-69700-givors
Vente Appartement 47 m² Villeurbanne,Appartement 47 m² à Villeurbanne,Villeurbanne,Appartement,2,170000,47.0,2,D,"À Villeurbanne, découvrez ce beau T2 de 47 m² entièrement rénové avec soin.
Situé au 2ème étage d'un immeuble de 5 étages, il offre une entrée avec rangements, une cuisine ouverte sur un séjour lumineux exposé plein sud, une chambre avec placard, une salle d'eau et un WC indépendant.

Idéalement situé, l'appartement bénéficie de la proximité immédiate des commerces et des transports en commun, notamment le T6 (desservant Gratte-Ciel, la DOUA, les IUT ainsi que les HCL de Bron et Lyon 7 Debourg) et le bus C23.

Informations pratiques :
- Charges de copropriété : environ 90 /mois (entretien des parties communes, eau froide et fonds de travaux inclus)
- Taxe foncière : 1 038 /an
- Pas de procédure en cours
- Belle hauteur sous plafond

Pour plus d'informations, contactez Clara SENTIS, agent commercial (RSAC 918 907 189) :
? [Coordonnées masquées]  ? [Coordonnées masquées]

Honoraires à la charge du vendeur.  Dans une copropriété de 20 lots. Aucune procédure n'est en cours. Classe énergie D, Classe climat B Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 1070.00 et 1448.00 . Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr. 

Votre conseiller Pietrapolis Lyon 3 Préfecture : Clara SENTIS
Agent commercial (Entreprise individuelle)  
  RSAC 918 907 189",https://www.etreproprio.com/immobilier-25285782-vente-appartement-47-m-a-villeurbanne-villeurbanne
Vente Appartement 82 m² Poleymieux-Au-Mont-D'or,Appartement 82 m² à Poleymieux-Au-Mont-D'or,Poleymieux-Au-Mont-D'or,Appartement,0,215000,82.0,3,,"Iad France - Frédérique Alonso vous propose : Nichée au cOEur du village prisé de Poleymieux-au-Mont-d'Or, découvrez cette bâtisse de caractère, actuellement en pleine renaissance avec son cachet historique et un confort moderne. Ce magnifique plateau brut situé au RDC avec ses beaux volumes, sa grande ouverture voutéeLaissez libre court à votre imagination ! Aménagez ce volume selon vos besoins (habitation ou usage professionnel).Le petit plus : Un projet d'aménagement 'clés en main' est disponible sur demande portant l'ensemble à 290 000 ¤ Les atouts techniques : Copropriété intimiste (4 lots), faibles charges (400 euros par ans), isolation acoustique soignée et menuiseries double vitrageVous avez la possibilité d'acquérir en sus un jardin privatif en situé juste en face de la maison avec deux places de parking pour 20000¤.À seulement 20 minutes de Lyon, profitez d'un cadre de vie verdoyant et calme. Ce plateau brut au sein de la 'Maison Laroche' offre une flexibilité totale pour un projet de vie personnalisé. Le Plateau brut est livré avec réseaux en attente (eau, électricité, fibre), plafonds acoustiques et menuiseries neuves, pré installation pour la climatisation réversible, compteurs individuels, et isolation performante. Prix : 215000 ¤ (Plateau brut)  Option aménagée : 290 000 ¤ Dossier disponible sur demandeLa presente annonce immobiliere vise 2 lots situés dans une copropriété de 8 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 33.33¤ par mois (soit 400 ¤ annuel). Honoraires d'agence à la charge du vendeur. Bien non soumis au DPE. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Frédérique Alonso mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de LYON sous le numéro 949296784, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.Informations LOI ALUR :  Soumis au régime de copropriété. Nombre de lots : 8.  Quote part annuelle(moyenne) : 400 euros. Honoraires charge vendeur. (gedeon_6727_32839144)",https://www.etreproprio.com/immobilier-25290823-vente-appartement-82-m-a-poleymieux-au-mont-d-or-poleymieux-au-mont-d-or
Vente Appartement 278 m² Sathonay-Camp,Vente immeuble en bloc : rentabilité locative et emplacement de qualité !,Sathonay-Camp,Appartement,1,600000,278.0,6,D,"Nous vous proposons à la vente un immeuble de rapport de 1850 situé Boulevard Castellane à Sathonay-Camp 69580, dans un secteur recherché et à proximité immédiate des transports, commerces et commodités.

Cet ensemble immobilier, sur une parcelle de 129m², développe une surface habitable totale d'environ 278 m² habitables, et se compose de 5 lots répartis comme suit :
-	Deux locaux commerciaux au rez-de-chaussée,
-	Un T2 et un T2 Bis au 1° étage,
-	Un T4 au 2° étage,
-	Des caves en sous-sols,
-	Des combles non aménagées.

Le bâtiment présente un bon état général. Les logements disposent de chauffage individuel électrique ou gaz, avec compteurs individuels. L'immeuble bénéficie également de caves en sous-sols.
Des travaux d'entretien et de rénovation sont à prévoir en parties communes et partiellement en parties privatives.

L'immeuble est vendu loué et génère actuellement 22 295€ de loyers annuels (46 476€ de loyers annuels lorsque l'immeuble sera loué entièrement - deux lots sont actuellement vacants). La rentabilité brute cible est d'environ 6,5 %, avec un potentiel d'optimisation intéressant.
La taxe foncière est de 2 634€ par an.
Le DPE collectif à l'immeuble est en D.

Cet immeuble représente une opportunité d'investissement patrimonial et locatif, idéal pour un investisseur souhaitant sécuriser des revenus locatifs ou valoriser un actif immobilier dans un secteur dynamique.

Excellente opportunité pour cet investissement :
- Rentabilité immédiate avec des locataires déjà en place, assurant des revenus réguliers.
- Emplacement stratégique dans un secteur dynamique avec une forte demande locative.
- Faibles charges de gestion et d'entretien, permettant de maximiser la rentabilité nette.

Les qualités de l'immeuble :
- Rendement élevé, idéal pour un investissement rentable et sécurisé (hors zone d'encadrement des loyers, bonne commercialité en RDC pour les deux locaux commerciaux)
- Quartier en pleine évolution, assurant un potentiel de valorisation à moyen et long terme (proximité de la gare et des commerces)
- Gestion simplifiée, 3 lots sur 5 étant déjà occupés et bien entretenus.

Le bien est proposé au prix de 600 000€ HAI.

Plus d'informations, organisation d'une visite ou réception du dossier complet sur demande.
Référence agence : 585",https://www.etreproprio.com/immobilier-25285304-vente-vente-immeuble-en-bloc-rentabilite-locative-et-emplacement-de-qualite-sathonay-camp
Vente Appartement 103 m² Condrieu,Appartement T3 lumineux avec terrasse   103 m2 située sur la commune de Vérin,Condrieu,Appartement,1,190000,103.0,3,C,"******EXCLUSIF******Alan BEHEREC agence IMMORÊVE vous invite à découvrir sur la commune de Vérin, entre Chavanay et Condrieu, cet appartement rénové en 2013, au sein d'une petite copropriété à proximité des bords de Rhône et de toutes commodités ! Le volume habitable, situé au premier étage et accessible par un accès indépendant, présente une surface d'environ 103 m2, vous accueillant par un hall d'entrée donnant sur une vaste et lumineuse pièce de vie ouverte sur une cuisine entièrement meublée et équipée d'un ilot central des plus fonctionnels ! Attenant à la pièce de vie, un espace d'environ 16 m2 vous ouvre les portes à la réalisation de plusieurs projets, vous donnant ainsi la possibilité d'agrandir le salon / séjour pour une superficie globale d'environ 60 m2 ou de créer une troisième chambre. L'espace nuit, accessible depuis un dégagement central bénéficiant d'un accès direct sur une terrasse d'environ 7 m2, se compose de deux grandes chambres munies de rangements intégrés, à directe proximité d'une salle d'eau dotée d'une douche, double vasque et sèche-serviettes, ainsi qu'un sanitaire indépendant. Cet appartement à tout pour vous séduire : une performance énergétique haute, une superficie habitable recherchée vous donnant l'opportunité d'une troisième chambre, la présence d'un extérieur avec vue plongeante sur les vignes et enfin, une place de stationnement privative au sein de la copropriété ! Si ce bien retient votre attention, contactez Alan BEHEREC agence IMMORÊVE dès-à-présent. Éléments techniques : - Construction 19ème siècle - pierres, charpente traditionnelle bois - tuiles terre cuite (toiture vérifiée par un couvreur) - Isolation par doublage périphérique placoplâtre et 100 mm laine de verre (2013) - Isolation laine de verre sous rampants (combles) - Système de chauffage par radiateurs électriques - ECS produite par cumulus 150 Litres - Menuiseries double vitrage - châssis bois (2013) + porte-fenêtre double vitrage - châssis PVC (2019) / Volets battants bois - Volet roulant électrique aluminium (porte-fenêtre) - Assainissement collectif TAE",https://www.etreproprio.com/immobilier-25283335-vente-appartement-t3-lumineux-avec-terrasse-103-m2-situee-sur-la-commune-de-verin-condrieu
Vente Maison 200 m² Francheville,Francheville le Haut maison ancienne 200 m²,Francheville,Maison,,698000,200.0,9,D,"NOUVEAUTÉ. Bruissin, ancienne ferme pleine de cachet sur un terrain de 1680 m². Erigée vers 1830, elle comprend de plain-pied salon, salle à manger, cuisine, salle de bains et à l'étage 4 chambres. 3 autres pièces habitables pour un total de 60 m² sont à aménager. Également des dépendances : garage, grange. Cette maison possède un existant déjà bien exploité et des surfaces complémentaires pleines de potentiel. Chauffage par pompe à chaleur, 2 dispositifs pour récupérer les eaux de pluie, piscine possible.",https://www.etreproprio.com/immobilier-25284771-vente-francheville-le-haut-maison-ancienne-200-m-francheville
Vente Maison 150 m² Fontaines-Sur-Saone,Maison 150 m² à Fontaines-Sur-Saone,Fontaines-Sur-Saone,Maison,,629000,150.0,6,D,"UNE VIDÉO EST DISPONIBLE EN CLIQUANT SUR '360' en dessous des images, ou sur notre site internet, page instagram et page youtube.

Laissez-vous charmer par cette superbe maison des années 1920, idéalement située à Fontaines/limite Caluire, à proximité immédiate des commodités et des transports (bus, gare TER, modes doux sur la voie verte, etc.).

Parfaite pour une vie de famille, la maison s'ouvre sur un vaste espace de plus de 60 m², comprenant une grande cuisine récente, entièrement aménagée et équipée, ainsi qu'un beau coin salon lumineux. Quelques marches vous conduisent à un espace détente niché en contrebas, agrémenté d'une élégante verrière qui crée une atmosphère chaleureuse et intime.

À l'étage, un magnifique escalier en bois mène à 4 grandes chambres, chacune offrant de beaux volumes, ainsi qu'à un bureau idéal pour télétravailler. Une salle de bains avec WC complète cet étage.
Il est possible créer une suite parentale, en ajoutant une seconde salle de bains.

La maison repose sur un sous-sol complet offrant d'immenses espaces de rangement.
À l'extérieur, le jardin arboré de 630 m² permet de stationner plusieurs véhicules tout en offrant des espaces de jeux et de détente à l'abri de magnifiques arbres, un cadre idéal pour profiter de moments en famille.

À découvrir en exclusivité avec l'Annexe !


Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr.

Honoraires à la charge du vendeur.  Classe énergie D, Classe climat E. Date de réalisation du DPE : 17-01-2018. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr. 

 Retrouvez l'annonce de l'agence immobilière L'ANNEXE sur : https://www.lannexe-immo.fr/ref/VM1523",https://www.etreproprio.com/immobilier-25283852-vente-maison-150-m-a-fontaines-sur-saone-fontaines-sur-saone
Vente Appartement 25 m² Lyon-5e,Appartement 25 m² à Lyon-5e,Lyon-5e,Appartement,1,195000,25.0,1,F,"Exclusivité : Studio entièrement rénové  Coeur Vieux Lyon

Coup de coeur assuré pour ce studio niché au sein d'un magnifique immeuble classé Monument Historique du 14ème siècle.

Entièrement rénové fin 2021, ce cocon allie l'authenticité de l'ancien au confort moderne. Il se compose d'une pièce de vie optimisée avec des rangements ingénieux sous l'escalier, d'une cuisine totalement équipée et d'une salle d'eau avec WC intégrés. Idéal pour un premier achat, un pied-à-terre ou un investissement patrimonial de qualité.

Les atouts et points clés du bien :
Rénovation complète : Électricité, sols et peintures refaits à neuf il y a moins de 3 ans.
Cachet historique : Poutres, pierres et menuiseries en double vitrage bois respectant l'âme du bâtiment.
Charges très faibles : Environ 86 /mois (260  par trimestre) et une taxe foncière de seulement 365 /an.
Vivre dans l'histoire : Le quartier Saint-Jean

Situé dans le Vieux Lyon, au pied de la colline de Fourvière, vous vivez au coeur du site classé au patrimoine mondial de l'UNESCO. Le quartier offre un cadre de vie piétonnier unique. Toutes les commodités sont à deux pas : le Métro D (station Vieux Lyon) est à moins de 3 minutes à pied, tout comme les commerces de proximité et les quais de Saône. Un emplacement rare qui garantit une valeur patrimoniale pérenne.

Samuel BLANCHET, Conseiller immobilier, RSAC LYON  805 147 724
[Coordonnées masquées]  [Coordonnées masquées]

REF : SB-9885

Honoraires à la charge du vendeur.  Dans une copropriété de 9 lots. Aucune procédure n'est en cours. Logement à consommation énergétique excessive : Classe énergie F, Classe climat C Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 1053.00 et 1425.00 . Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr.",https://www.etreproprio.com/immobilier-25292394-vente-appartement-25-m-a-lyon-5e-lyon-5e
Vente Maison 103 m² Saint-Laurent-De-Mure,Maison 103 m² à Saint-Laurent-De-Mure,Saint-Laurent-De-Mure,Maison,,448000,103.0,5,C,"Belle maison en hauteur très bien entretenue et aménagée avec des prestations de qualité dans un petit lotissement au calme sans vis-à-vis sur terrain clos de 842 m². Portail automatique et allée d'accès garage et maison en résine époxy. Vaste dégagement avec verrière dès l'entrée dans la maison. La véranda de 20 m² (refaite en 2024) aménagée en salon de jardin offre une superbe vue sur les Alpes. Le salon / séjour de plus de 30 m² donne, d'un côté sur la véranda, de l'autre sur la piscine et sa superbe terrasse bois agrémentée de salons d'été. Cuisine moderne bien équipée ouverte sur le séjour et sur la terrasse extérieure. 1 WC. Bel escalier bois moderne pour accéder à l'étage. 4 chambres plancher bois. 1 salle d'eau pratique et fonctionnelle avec paroi carreaux de verre. Garage de 40 m² avec espace buanderie. Huisseries PVC blanc double vitrage. Moustiquaires dans les chambres. Volets roulants électriques. Climatisation mono-split pompe à chaleur air-air 5.2 KW installée en 2025. Piscine 8 x 4 au chlore (2020). 1 pool-house dans dépendance. Appentis mitoyen garage. Terrain agréable avec espace piscine détente brasero barbecue, espace potager, espace repas sous les arbres. Nettoyage tuiles en 2021; bandeaux de toit PVC; isolation des combles 2019. Compteur électrique général refait en 2021. Pas de travaux à prévoir. Places de parking publiques à proximité. Un bien où il fait bon vivre ! Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.frPrix de vente : 448 000 ¤Honoraires charge vendeurContactez votre conseiller SAFTI : Françoise MARTINEZ, Tél. : [Coordonnées masquées], E-mail : [Coordonnées masquées] - EI - Agent commercial immatriculé au RSAC de LYON sous le numéro 508 323 599.Informations LOI ALUR :  Honoraires charge vendeur. (gedeon_26118_32094725)",https://www.etreproprio.com/immobilier-23629978-vente-maison-103-m-a-saint-laurent-de-mure-saint-laurent-de-mure
Vente Appartement 49 m² Villeurbanne,T2 Gratte-Ciel   Terrasse 25 m2   Métro A   Rez-de-jardin,Villeurbanne,Appartement,1,225000,49.0,2,E,"Neyret Immobilier vous propose ce superbe appartement T2 en rez-de-jardin, idéalement situé en hyper-centre de Villeurbanne, dans le secteur prisé des Gratte-Ciel.Au sein d’une résidence récente et de standing, cet appartement bénéficie d’un environnement calme et sécurisé, avec une vue sur le parc de la résidence.L’emplacement est un véritable atout : au pied du tramway T6 permettant un accès rapide au campus de la Doua et à seulement 5 minutes à pied du métro A reliant le centre de Lyon.L’appartement se compose d’un bel espace de vie de 25 m2 avec cuisine, d’une chambre avec accès direct à la terrasse ainsi que d’une salle de bains.Vous profiterez d’une terrasse de 25 m2, véritable prolongement de l’espace de vie, idéale pour vos moments de détente.Un bien rare sur le secteur, parfait pour un premier achat, un pied-à-terre ou un investissement locatif. Contactez Neyret Immobilier pour organiser une visite. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur : www.georisques.gouv.fr",https://www.etreproprio.com/immobilier-24974142-vente-t2-gratte-ciel-terrasse-25-m2-metro-a-rez-de-jardin-villeurbanne
Vente Appartement 143 m² Caluire-Et-Cuire,Appartement 143 m² à Caluire-Et-Cuire,Caluire-Et-Cuire,Appartement,,790000,143.0,5,C,"EXCLUSIVITÉ PPV : VISITE VIRTUELLE VIDÉO DISPONIBLE SUR NOTRE SITE WEB ET SUR INSTAGRAM @pourquoi_pas_vous_immo

POURQUOI PAS vivre dans un bel appartement T5 de 143 m² carrez, avec une grande terrasse d'env. 50 m², situé au 2e et dernier étage d'une petite résidence de 2019, à Caluire-et-Cuire, au pied de la Croix-Rousse et à proximité de l'école Ombrosa ?

Les +

- Résidence récente (2019), prestations modernes et standing
- Environnement calme et résidentiel
- Belle vue dégagée à l'Ouest
- 2e et dernier étage AVEC ascenseur, seul sur le pallier
- Appartement familial aux beaux volumes idéalement agencé avec 4 chambres
- Grande pièce de vie avec cuisine ouverte de 60 m² et accès terrasse
- 1 suite parentale avec sa salle d'eau et ses WC d'un coté de l'appartement
- De l'autre coté, 3 chambres confortables avec espaces de rangements, 1 salle de bains avec baignoire et douche et ses WC + WC indépendant
- Grande terrasse de près de 50 m² sans vis-à-vis
- Appartement très fonctionnel, beaucoup de rangements
- Clés en main, aucun travaux à prévoir, belles prestations
- Proximité immédiate des quais de Saône et des transports

3 stationnements en box fermés dont 1 PMR (en sus)
Stationnement libre dans la copropriété

Charges mensuelles de 315
Taxe foncière annuelle de 2 738

Contactez-moi sans tarder pour visiter ce bien rare, spacieux et prêt à vivre !

Pierre [Coordonnées masquées]
Instagram @pierre_pourquoipasvous

POURQUOI PAS VOUS ?



Honoraires à la charge du vendeur.  Dans une copropriété de 89 lots. Aucune procédure n'est en cours. Classe énergie C, Classe climat C Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2023 : entre 1130.00 et 1580.00 . Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr. 

Carte pro. 69[Coordonnées masquées]00 037.
Visite virtuelle disponible sur le compte INSTAGRAM @pourquoi_pas_vous_immo",https://www.etreproprio.com/immobilier-25289885-vente-appartement-143-m-a-caluire-et-cuire-caluire-et-cuire
Vente Appartement 64 m² Lyon-8e,Lyon 8 - Quartier Bachut -T3 lumineux avec balcon et garage,Lyon-8e,Appartement,,240000,64.0,3,C,"NEYRET IMMOBILIER vous présente Lyon 8ème, quartier Bachut, T3 lumineux avec balcon et garage - Situé au coeur d'un quartier dynamique, rythmé par ses commerces et ses transports, venez découvrir ce superbe appartement de standing (construction 2010). L'appartement bénéficie d'une distribution optimale pour votre confort - Une entrée menant à un agréable séjour baigné de lumière, ouvrant directement sur le balcon, d'une cuisine équipée, offrant la possibilité d'être ouverte sur le séjour pour plus de convivialité, de 2 chambres confortables, une salle de bains et des toilettes séparées Possibilité garage en sous sol.en plus (20 000 euros) Pour tout complément ou demande de visiste, contactez Edwige THOMASSIN [Coordonnées masquées], ou l'agence NEYRET [Coordonnées masquées]. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site géorisques www.géorisques.gouv.fr",https://www.etreproprio.com/immobilier-24543730-vente-lyon-8-quartier-bachut-t3-lumineux-avec-balcon-et-garage-lyon-8e
Vente Appartement 67 m² Saint-Genis-Les-Ollieres,Appartement 67 m² à Saint-Genis-Les-Ollieres,Saint-Genis-Les-Ollieres,Appartement,,270000,67.0,3,E,"Iad France - Stéphane Cagny vous propose : en exclusivité à Saint-Genis-les-Ollières, cet appartement (T3) cosy de 67 m² aux airs de maison de village, au coeur d'un environnement naturel et au calme absolu. En parfait état puisque rénové par ses propriétaires actuels (fenêtres, radiateurs, SDB, peintures. ), cet appartement chaleureux se compose d'une entrée avec rangements, une pièce de vie traversante (nord-sud) et lumineuse de 35 m², avec cuisine ouverte équipée. La fenêtre côté nord donne sur le jardin et la terrasse, et celles côté sud sont orientées vers l'extérieur verdoyant de la copropriété. Le couloir mène ensuite aux 2 chambres confortables, à une élégante salle de bain équipée d'une douche à l'italienne, d'une large vasque et d'un sèche-serviettes. Un WC complétant cet espace. Outre son état impeccable, l'autre point fort de cet appartement en rez-de-jardin est sans aucun doute son extérieur, avec sa terrasse carrelée et son charmant jardin aménagé. Ajoutez à cela la prairie paisible et verdoyante de la copropriété, et vous aurez vraiment le sentiment de vivre en pleine nature, un véritable havre de paix. Enfin vous disposerez également d'un garage aménagé et électrifié, que ce soit pour votre véhicule ou pour en faire un lieu de stockage.(NB : concernant le DPE, il suffit de changer la VMC pour passer de E à D) Vous l'aurez compris, il s'agit-là d'un bien rare, au coeur d'un environnement exceptionnel, et à seulement quelques centaines de mètres des principaux points d'intérêt du village (commerces, école, brasserie, bus. ), contactez-moi sans attendre pour en savoir plus et prévoir une visite ! La presente annonce immobiliere vise 2 lots situés dans une copropriété de 19 lots au total et faisant l'objet d'une ou plusieurs procédures en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 161.67¤ par mois (soit 1940 ¤ annuel). Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien : classe ENERGIE E indice 312 et classe CLIMAT B indice 10. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M Stéphane Cagny mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de Lyon sous le numéro 917406845, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.Informations LOI ALUR :  Soumis au régime de copropriété. Nombre de lots : 19.  Quote part annuelle(moyenne) : 1940 euros. Syndic soumis à une procédure d'alerte. Honoraires charge vendeur. (gedeon_6727_32402901)",https://www.etreproprio.com/immobilier-25290742-vente-appartement-67-m-a-saint-genis-les-ollieres-saint-genis-les-ollieres
Vente Appartement 77 m² Tassin-La-Demi-Lune,Appartement 77 m² à Tassin-La-Demi-Lune,Tassin-La-Demi-Lune,Appartement,,245000,77.0,3,E,"Iad France - Stéphane Cagny vous propose : en exclusivité - Dernier étage lumineux à Tassin-la-Demi-Lune - Appartement rénové de 77 m² : Dans un environnement calme et privilégié, au sein d'une résidence sécurisée et parfaitement entretenue, découvrez ce bel appartement rénové de 77 m² situé au dernier étage -- un véritable atout pour profiter de la luminosité et de la tranquillité. Dès l'entrée, dotée d'un placard intégré, la distribution séduit par son équilibre idéal entre espace de vie et coin nuit distinct, offrant un confort optimal au quotidien. Un espace de vie baigné de lumière : Le double séjour de 26 m² constitue le cOEur chaleureux de l'appartement. Grâce à sa double exposition sud-est et à ses larges baies vitrées, la lumière naturelle y est omniprésente tout au long de la journée, créant une atmosphère conviviale et apaisante. La cuisine indépendante, récente et entièrement équipée, a été pensée avec soin pour allier esthétique et fonctionnalité. Elle s'ouvre sur un agréable balcon, communicant avec le séjour, parfait pour savourer un café au soleil ou profiter d'un moment de détente. Un espace nuit confortable et bien agencé : Un couloir avec grand dressing aménagé dessert deux chambres confortables orientées à l'est. Une salle d'eau moderne en parfait état, ainsi qu'un WC indépendant complètent cette partie. Prestations et équipements : - Installation électrique refaite- Fenêtres aluminium double vitrage- Volets roulants électriques- VMC- Fibre optiqueL'appartement est proposé avec une cave, et une place de stationnement extérieure est disponible en supplément. Emplacement recherché, à proximité immédiate de toutes les commodités : - Transports- Écoles- Commerces- Accès A6 à 5 minutes- Phare de Tassin à 5 minutesUn bien clé en main, lumineux, au dernier étage, idéal pour un couple, une famille ou un investissement patrimonial serein. Contactez-moi dès maintenant pour obtenir plus d'informations et organiser une visite. La presente annonce immobiliere vise 3 lots situés dans une copropriété de 494 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 261¤ par mois (soit 3132 ¤ annuel). Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien : classe ENERGIE E indice 321 et classe CLIMAT E indice 66. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M Stéphane Cagny mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de Lyon sous le numéro 917406845, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.Informations LOI ALUR :  Soumis au régime de copropriété. Nombre de lots : 494.  Quote part annuelle(moyenne) : 3132 euros. Honoraires charge vendeur. (gedeon_6727_32753182)",https://www.etreproprio.com/immobilier-25290780-vente-appartement-77-m-a-tassin-la-demi-lune-tassin-la-demi-lune
Vente Appartement 50 m² Lyon-7e,Vente en 1 lot 2 studios,Lyon-7e,Appartement,1,260000,50.0,2,D,"Votre agence Les Clés d’Alexia vous propose en exclusivité un lot de deux studios entièrement rénovés, vendus ensemble, situés 37 Rue Jean-François Raclet à Lyon 7ᵉ.

Situés dans une petite copropriété calme et sécurisée, ces deux studios au 1er étage offrent des surfaces de 25 m² et 21 m². Ils ont été entièrement refaits à neuf avec des matériaux de qualité, offrant un cadre de vie moderne, confortable et fonctionnel.

L’emplacement est idéal, à proximité immédiate des transports en commun et des commerces, et à seulement 7 minutes en métro de l’EM Business School, ce qui en fait une excellente opportunité d’investissement locatif, notamment pour des étudiants ou de jeunes actifs.

Pour plus d’informations ou organiser une visite, contactez Gregory Petit – Les Clés d’Alexia.",https://www.etreproprio.com/immobilier-25288079-vente-vente-en-1-lot-2-studios-lyon-7e
